token_address,ticker,chain,platform,launch_ts,t_window_hours,total_buy_volume_eth,total_buy_volume_eth_decayed,unique_buyers,buyer_volumes_eth_json,lp_depth_eth,lp_removed_24h_eth,early_holders_count,early_holders_still_holding,hp_delta_recent,holder_count,holder_balances_json,outcome_30d_holder_retention,outcome_30d_price_floor,outcome_30d_volume_slope,outcome_30d_composite,outcome_60d_holder_retention,outcome_60d_price_floor,outcome_60d_volume_slope,outcome_60d_composite,outcome_90d_holder_retention,outcome_90d_price_floor,outcome_90d_volume_slope,outcome_90d_composite,survived_to_day_7,hp_trajectory_json,name,creator_address,notes
0xc115aeb00a3619d960f5b7195daba124ef72cb07,LUCIAN,base,clanker,1770816333,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],LUCIAN,0xd47292eb9e4d206cfefd4347bfbfc4622454ba64,no swaps in 90d;zero-activity
0xc02b337b72f2af1a41f9f384d5f067292d5e8b07,joinENS,base,clanker,1770672629,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],joinENS,0x83a836a68b22707a43f7f12e5743a9abbec61d21,no swaps in 90d;zero-activity
0x16d12c7d1ff4fcb4a0f30c634219cf2e09c81b07,Clawfund,base,clanker,1770582823,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],Clawfund,0x8ae0f2cca9ba282f282c0fc50742ad8ee8c029bb,no swaps in 90d;zero-activity
0x188d064b88abde5a8f2d3d93e5a16bf1b48ebb07,PUNTERMARKAI,base,clanker,1771106243,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],PUNTERMARKAI,0xd47292eb9e4d206cfefd4347bfbfc4622454ba64,no swaps in 90d;zero-activity
0x2511b45cd22d356354a68c40821855604cdccb07,BB,base,clanker,1770556817,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],BB,0x52f0b7170b5de25f6e2296132d44314fdce44499,no swaps in 90d;zero-activity
0xba6e94ab973a055924f30571a7c9d9d437c8cb07,AiSzn,base,clanker,1770629323,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],AiSzn,0x5ed58e5e5336f21b234fc7ec8e450a79736dfe9f,no swaps in 90d;zero-activity
0x1fcc0ac02fca1aff8d4dafa048ca14078d835b07,LongXia-No1,base,clanker,1770654035,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],LongXia-No1,0x01255eb8185018961af19f6cef88682db28fee29,no swaps in 90d;zero-activity
0x83063ad18378cdae1218b8ff35d1c2bfd949eb07,XF7,base,clanker,1770911075,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],XF7,0x2a1b9c601ba7603dd88e576abb5efa7350c358b1,no swaps in 90d;zero-activity
0x9ec9d2ab085c4681aa31039f28466a11b74a9b07,agenAZ7,base,clanker,1770651083,96,0.0,0.0,0,[],9.910581,0,1,1,0.0,1,[124473014462824002437],1,1,0,0,1,1,0,0,0,0,0,0,0,"[2.369018, 2.369018, 2.369018, 2.369018]",agenAZ7,0xd47292eb9e4d206cfefd4347bfbfc4622454ba64,zero-activity
0xb7e899085b4add7822a580e630447ceab63bbb07,bankrbot,base,clanker,1770857965,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],bankrbot,0xf7363f4d415d4fac839628e39e0d485035353441,no swaps in 90d;zero-activity
0xe688e4e2d9e8bc76d0d73366a6c3cece1be7ab07,QUEENCLAW,base,clanker,1770742303,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],QUEENCLAW,0x8b55c987656ef0858e963e2fbc7c26996ae0d021,no swaps in 90d;zero-activity
0xeb40e35159e0b0e39c7e8a3ee30cea02eac59b07,MARS,base,clanker,1770640069,96,0.0,0.0,0,[],9.910581,0,1,1,0.0,1,[74607067975946844780],1,1,0,0,1,1,0,0,0,0,0,0,0,"[2.369018, 2.369018, 2.369018, 2.369018]",MARS,0xd47292eb9e4d206cfefd4347bfbfc4622454ba64,zero-activity
0x9cef5a9a8ad05b183999c1f6b6e2f8e45b521b07,CLAWBACKROOM,base,clanker,1770894729,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],CLAWBACKROOM,0x8b55c987656ef0858e963e2fbc7c26996ae0d021,no swaps in 90d;zero-activity
0x3cbf9f89c076c1e266e3e84913154bffaec8ce71,ROUVENS,base,clanker,1770764607,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],ROUVENS,0xfc426dfeae55dae2f936a592450c9ecea87a5736,no swaps in 90d;zero-activity
0xa92aa53266b2d6bba3c432222647e167d340eb07,OBS,base,clanker,1770865517,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],OBS,0x1f89a6f3da9b262dfc038edc6c2f654f0c9603aa,no swaps in 90d;zero-activity
0x15bc5ce06ace87ba9d6e1da15fa1d08348483b07,LUMEN,base,clanker,1770582069,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],LUMEN,0xbbcc66711e93155d47faab28b4e47d3067d4f819,no swaps in 90d;zero-activity
0xf4c9d8bf707871939e5963ff63a46a5765884f6c,THEWATCHER,base,clanker,1771076511,96,0.002825,0.000439,2,"[0.002797, 2.8e-05]",9.910612,0,1,1,-0.0,1,[318253888239231473372937],1,1,0,0,1,1,0,0,0,0,0,0,0,"[2.378489, 2.379119, 2.378962, 2.378867]",THEWATCHER,0xfc426dfeae55dae2f936a592450c9ecea87a5736,
0x71ad5cbed3e4b94f5cb4ee89baf543ddf8de4b07,GeoSpy,base,clanker,1770688683,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],GeoSpy,0x58d869cd90a8f548f90f677d019030705effce7f,no swaps in 90d;zero-activity
0x6f8f8b0221f580881f7fe557f98c5eb12ade5b07,Everyboooooo,base,clanker,1770599843,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],Everybooooooodyyyyyyyyyyyy,0x35772e0d8977ee6ec4cd3a3d6b0e04f56f2e9ea1,no swaps in 90d;zero-activity
0x8f252e0e611d841d6180b4f2a8cee92a156e09f4,XIAOFA,base,clanker,1770801749,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],XIAOFA,0xfc426dfeae55dae2f936a592450c9ecea87a5736,no swaps in 90d;zero-activity
0xb059434177d0e120b4c16d60cfb1eb25a7defb07,Spok,base,clanker,1771191031,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],Spok,0x77838cd4716d41c96e8991f81c255bfc619db9b1,no swaps in 90d;zero-activity
0x82a23e5b7f28d22d01a16080963639792e6e9b07,DOG,base,clanker,1771009981,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],DOG,0x8b55c987656ef0858e963e2fbc7c26996ae0d021,no swaps in 90d;zero-activity
0x825eefaf1b0e480ff772983e418652ae20442b07,SPEEDCOIN,base,clanker,1771706553,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],SPEEDCOIN,0xd47292eb9e4d206cfefd4347bfbfc4622454ba64,no swaps in 90d;zero-activity
